Assets and Liabilities of FDIC-Insured Commercial Banks and Savings Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Amounts in $ Millions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,1984Q1,1984Q2,1984Q3,1984Q4,1985Q1,1985Q2,1985Q3,1985Q4,1986Q1,1986Q2,1986Q3,1986Q4,1987Q1,1987Q2,1987Q3,1987Q4,1988Q1,1988Q2,1988Q3,1988Q4,1989Q1,1989Q2,1989Q3,1989Q4,1990Q1,1990Q2,1990Q3,1990Q4,1991Q1,1991Q2,1991Q3,1991Q4,1992Q1,1992Q2,1992Q3,1992Q4,1993Q1,1993Q2,1993Q3,1993Q4,1994Q1,1994Q2,1994Q3,1994Q4,1995Q1,1995Q2,1995Q3,1995Q4,1996Q1,1996Q2,1996Q3,1996Q4,1997Q1,1997Q2,1997Q3,1997Q4,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2
  Subordinated debt,"7,646","9,974","9,680","12,327","13,922","14,997","15,876","17,962","18,815","20,138","20,916","21,522","22,186","22,277","22,487","22,562","22,558","22,623","22,387","22,367","22,376","22,804","23,904","24,449","23,923","24,322","23,747","28,251","28,211","28,367","27,919","28,486","28,260","30,667","33,180","36,787","37,076","39,633","39,700","39,905","39,764","39,945","41,086","43,151","43,318","44,799","46,267","46,117","47,820","50,220","50,945","53,568","54,695","56,759","58,027","64,950","68,912","70,202","71,647","75,597","76,429","77,516","79,060","79,469","81,952","85,050","87,359","90,166","93,692","93,473","96,385","99,227","96,727","97,016","95,992","98,554","100,507","102,826","103,666","106,683","107,196","110,532","110,803","118,535","122,515","123,091","125,014","131,428","135,458","142,876","146,675","160,542","165,328","172,377","177,469","185,388","185,580","185,078","176,833","185,459","170,929","168,125","161,256","156,947","150,540","150,986","150,820","146,832","139,862","138,874","136,524","133,052","129,351","116,634","112,096","118,023","116,075","113,621","108,673","99,618","95,451","97,802","97,389","98,083","94,842","92,571","92,163","91,597","91,743","88,573","87,037","83,904","79,764","77,428","75,110","68,928","69,852","67,197","68,844","68,677","68,853","68,946","69,335","69,952","69,459","69,595","68,489","68,230","66,470","66,798","66,246","66,395","65,733","63,463","63,299","65,187","60,822","59,450","57,206","57,881","57,580","55,426"
  Trading account liabilities, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ,"124,098","151,767","133,163","118,764","186,008","149,404","147,995","143,161","132,685","140,008","130,573","150,539","165,866","166,251","191,425","206,203","206,401","206,901","235,227","209,814","191,959","176,976","177,963","186,871","197,132","182,359","195,336","211,680","218,151","197,061","210,911","183,301","177,737","224,180","251,463","244,100","233,897","253,783","269,089","274,313","261,022","227,881","239,648","280,485","272,597","260,592","269,593","251,749","273,372","273,671","277,626","266,381","270,941","293,677","338,715","342,726","405,950","357,454","356,827","470,095","358,625","264,681","291,622","257,931","267,145","287,484","324,664","292,926","288,315","300,465","342,206","314,362","289,065","310,353","288,786","271,158","259,875","251,620","245,690","242,583","220,538","220,890","265,750","295,669","307,240","249,312","256,865","246,313","284,301","301,744","257,371","244,346","235,966","234,553","222,773","227,627","227,072","238,402","259,201","235,925","231,201","228,117","230,008","203,582","321,401","257,704","232,843","272,876","268,144","273,306","262,134","243,632","328,067","341,484","366,328","314,586","307,204","327,953","327,893","285,940","292,082","283,293"
  Other liabilities,"66,634","68,494","70,752","73,800","77,235","84,676","75,033","77,582","81,776","84,110","87,080","82,855","88,198","89,998","97,108","88,061","90,696","93,210","95,858","95,275","93,737","100,773","102,955","102,069","109,410","109,978","113,116","105,911","111,748","108,442","111,349","103,488","105,839","107,748","121,244","98,140","116,237","121,630","122,715","118,556","116,779","105,067","103,495","99,445","116,144","115,231","118,901","118,369","127,413","128,376","137,868","118,173","125,253","122,157","133,254","131,453","146,766","147,721","165,364","168,920","164,842","161,587","158,906","166,714","171,874","174,624","186,399","198,067","203,444","205,516","281,492","234,707","222,228","253,556","260,286","238,223","270,130","306,732","295,718","239,439","260,431","249,731","254,462","275,708","282,125","269,386","269,701","268,968","313,665","315,206","346,420","342,684","326,957","339,099","356,987","342,670","376,637","332,893","367,105","346,536","325,836","341,763","327,105","305,286","301,404","313,069","339,039","318,325","322,832","345,701","365,413","350,983","362,559","368,921","397,970","362,101","365,571","390,327","355,761","323,174","342,400","352,884","360,967","351,526","365,133","354,757","362,400","333,592","356,554","382,898","384,625","366,833","360,381","371,948","400,902","370,700","376,247","388,059","405,608","381,057","410,673","433,529","432,824","420,133","518,268","493,567","485,940","483,089","516,705","503,582","541,844","499,078","556,508","551,506","561,298","563,871","585,930","583,004","621,363","618,631","657,609","656,261"
  Total liabilities,"3,195,962","3,298,257","3,334,936","3,463,948","3,472,317","3,557,260","3,645,503","3,779,420","3,801,163","3,880,818","3,924,539","4,089,644","4,056,819","4,119,570","4,169,244","4,267,651","4,306,198","4,373,333","4,438,047","4,496,301","4,422,269","4,459,287","4,442,219","4,462,215","4,388,879","4,399,659","4,404,401","4,370,397","4,276,088","4,249,838","4,274,415","4,249,865","4,231,410","4,201,607","4,205,229","4,203,508","4,179,333","4,220,552","4,275,024","4,336,329","4,463,626","4,510,108","4,539,523","4,630,200","4,726,736","4,772,465","4,827,120","4,905,116","4,888,243","4,971,848","5,041,169","5,149,078","5,191,384","5,312,460","5,390,604","5,537,340","5,631,127","5,689,968","5,774,881","5,974,270","5,956,607","6,032,435","6,090,261","6,309,022","6,418,191","6,564,219","6,648,093","6,829,622","6,918,988","6,970,294","7,146,087","7,160,217","7,101,065","7,295,648","7,509,725","7,659,853","7,813,734","8,111,781","8,126,739","8,245,026","8,491,319","8,731,487","8,876,308","9,068,136","9,230,751","9,387,493","9,603,764","9,760,628","10,046,513","10,342,507","10,530,322","10,613,970","10,714,862","10,982,295","11,379,007","11,686,570","12,008,479","11,949,304","12,237,527","12,522,043","12,148,705","11,878,618","11,783,802","11,642,225","11,877,099","11,713,964","11,858,669","11,807,557","11,886,096","12,047,379","12,233,504","12,322,209","12,338,489","12,423,586","12,585,094","12,821,161","12,782,106","12,786,483","12,966,405","13,076,529","13,228,696","13,456,697","13,622,020","13,812,824","14,006,426","13,977,962","14,003,044","14,166,746","14,453,281","14,663,593","14,880,056","14,910,571","15,068,991","15,131,302","15,287,115","15,457,379","15,562,861","15,549,042","15,675,516","15,920,390","16,030,473","16,168,193","16,380,533","16,532,064","18,137,301","18,989,844","19,023,629","19,641,779","20,293,963","20,466,203","20,909,997","21,360,133","21,713,371","21,497,350","21,462,785","21,388,932","21,452,911","21,208,090","21,163,621","21,372,078","21,640,035","21,529,158"
  Total equity capital,"177,696","181,105","185,597","188,774","193,733","200,443","207,708","213,504","220,757","225,338","233,147","237,521","244,452","234,139","237,860","234,405","234,692","238,496","254,043","262,664","276,659","281,002","276,158","274,194","282,027","287,051","287,133","286,151","292,276","295,372","299,189","300,327","310,005","320,562","330,461","337,817","348,807","357,431","366,687","375,025","380,291","385,054","392,841","392,161","406,062","418,155","429,355","435,847","439,279","450,993","455,695","461,432","475,918","491,001","504,009","507,378","521,585","539,531","552,644","556,755","565,318","562,380","565,477","574,637","586,378","599,395","621,295","633,276","653,702","665,630","698,088","706,860","721,677","743,354","763,105","776,005","791,336","811,482","816,395","830,627","885,920","917,057","1,000,908","1,039,243","1,055,658","1,086,876","1,096,940","1,118,638","1,163,246","1,183,607","1,223,836","1,247,885","1,267,457","1,279,098","1,327,143","1,347,365","1,360,843","1,351,125","1,308,439","1,295,628","1,377,453","1,401,062","1,442,215","1,444,552","1,458,905","1,485,544","1,514,039","1,511,366","1,528,151","1,554,607","1,578,386","1,569,136","1,586,922","1,607,257","1,637,761","1,629,243","1,641,686","1,623,269","1,637,200","1,654,261","1,681,202","1,715,214","1,726,721","1,740,904","1,771,545","1,775,668","1,797,048","1,800,917","1,839,995","1,870,376","1,886,566","1,869,110","1,896,590","1,938,191","1,955,386","1,958,031","1,967,391","1,983,836","1,997,316","2,022,601","2,059,496","2,097,677","2,101,381","2,113,664","2,117,887","2,149,487","2,185,727","2,226,974","2,252,941","2,308,208","2,341,917","2,359,619","2,259,818","2,220,142","2,164,253","2,206,446","2,262,149","2,252,761","2,244,670","2,294,362","2,317,602","2,357,976"
    Total bank equity capital  ,"177,696","181,105","185,597","188,774","193,733","200,443","207,708","213,504","220,757","225,338","233,147","237,521","244,452","234,139","237,860","234,405","234,692","238,496","254,043","262,664","276,659","281,002","276,158","274,194","282,027","287,051","287,133","286,151","292,276","295,372","299,189","300,327","310,005","320,562","330,461","337,817","348,807","357,431","366,687","375,025","380,291","385,054","392,841","392,161","406,062","418,155","429,355","435,847","439,279","450,993","455,695","461,432","475,918","491,001","504,009","507,378","521,585","539,531","552,644","556,755","565,318","562,380","565,477","574,637","586,378","599,395","621,295","633,276","653,702","665,630","698,088","706,860","721,677","743,354","763,105","776,005","791,336","811,482","816,395","830,627","885,920","917,057","1,000,908","1,039,243","1,055,658","1,086,876","1,096,940","1,118,638","1,163,246","1,183,607","1,223,836","1,247,885","1,267,457","1,279,098","1,327,143","1,347,365","1,360,843","1,351,125","1,308,439","1,295,628","1,359,732","1,383,384","1,422,742","1,424,043","1,439,241","1,466,385","1,494,994","1,484,509","1,509,369","1,535,695","1,560,148","1,550,807","1,568,595","1,588,934","1,619,364","1,613,685","1,626,523","1,608,453","1,622,383","1,642,973","1,672,465","1,706,468","1,718,295","1,733,528","1,764,296","1,768,800","1,790,328","1,794,339","1,833,595","1,864,039","1,880,354","1,862,945","1,891,363","1,933,111","1,950,351","1,953,692","1,963,793","1,980,356","1,993,823","2,019,129","2,056,014","2,094,564","2,098,263","2,110,783","2,115,322","2,146,918","2,183,160","2,224,369","2,250,468","2,305,705","2,339,478","2,357,422","2,257,615","2,217,892","2,162,091","2,204,263","2,259,874","2,250,388","2,242,274","2,291,810","2,314,981","2,355,565"
      Perpetual preferred stock,561,601,719,818,855,900,958,"1,143","1,100","1,362","1,508","1,496","1,918","2,496","2,899","2,673","2,685","3,522","3,511","3,685","3,385","3,305","3,312","3,130","3,228","3,025","3,152","3,274","3,077","3,077","3,250","3,223","2,890","2,799","3,108","3,079","3,013","2,994","3,155","3,131","3,257","3,111","3,068","3,180","3,298","3,264","3,264","3,420","3,481","3,462","3,448","3,483","3,218","3,852","3,799","3,931","3,908","3,815","4,143","3,998","4,008","4,367","4,356","4,440","4,446","4,451","4,524","4,671","4,729","5,209","5,294","5,731","5,641","7,184","7,194","6,713","6,702","6,885","6,894","7,200","7,262","7,209","7,206","6,777","7,621","7,633","7,628","5,716","5,714","5,748","5,568","5,814","5,814","6,296","7,169","8,005","7,490","7,490","7,336","9,736","9,869","8,821","8,670","8,264","8,392","8,390","8,479","8,534","8,544","8,595","8,930","6,156","6,385","6,108","5,802","5,759","5,388","5,486","5,273","5,846","5,799","5,830","5,855","5,591","8,066","7,628","7,481","9,478","9,475","9,911","9,924","10,151","9,919","9,414","9,426","9,400","9,215","9,491","9,252","9,016","9,016","9,009","8,984","9,380","9,556","9,328","9,803","10,415","11,101","10,879","11,575","12,553","12,522","13,094","13,099","12,105","11,405","7,790","7,634","7,628","7,658","7,697"
      Common stock,"26,827","27,334","28,712","29,201","29,540","29,862","30,148","30,637","31,000","30,933","31,725","32,099","31,959","32,578","32,836","32,953","33,186","33,103","33,094","33,168","33,223","33,121","33,015","32,938","32,812","32,986","32,941","32,794","33,495","33,634","32,731","33,019","33,122","33,198","33,619","33,740","34,097","34,290","34,585","34,471","34,925","35,715","35,880","36,235","36,687","36,647","36,884","37,229","37,382","36,923","36,585","36,324","36,131","36,343","35,859","35,586","35,284","35,957","35,998","35,670","35,499","35,564","34,355","33,832","33,441","33,412","32,664","32,153","31,637","31,610","31,486","31,128","30,968","30,884","30,761","30,937","31,001","31,122","31,354","31,222","30,806","30,889","30,734","30,707","31,755","32,360","32,795","33,278","33,462","34,143","34,474","34,769","35,230","36,354","36,328","36,954","37,108","36,754","37,844","46,510","46,817","47,631","47,208","47,277","47,134","47,167","47,188","47,184","46,030","45,861","45,779","45,270","45,129","45,029","44,848","44,457","44,341","44,098","44,163","43,914","43,811","45,078","45,068","43,990","43,816","43,829","43,675","43,290","43,178","43,144","42,807","42,733","42,853","43,285","42,952","42,824","42,843","42,796","42,918","42,597","42,481","42,621","42,612","42,340","42,231","41,521","41,347","41,319","41,299","41,155","41,108","41,444","41,578","41,668","41,546","41,578","41,632","41,086","41,167","41,176","41,159","41,179"
      Surplus,"59,220","60,712","61,701","63,948","66,071","68,602","70,712","74,481","77,607","79,994","83,517","89,628","93,327","96,361","98,112","100,118","101,463","103,215","103,242","108,822","106,594","108,471","110,168","113,630","114,978","117,418","119,178","123,298","124,411","126,393","129,006","131,617","135,121","140,565","142,980","147,554","150,452","153,028","154,957","158,631","161,749","164,697","168,290","170,155","174,859","177,015","180,338","183,862","187,961","200,824","203,866","206,317","216,561","221,941","227,397","231,840","242,696","251,030","256,466","263,402","267,744","270,846","274,175","286,852","292,915","301,034","308,358","309,855","315,484","322,644","340,981","358,712","376,573","374,142","377,143","387,011","396,258","403,948","411,773","423,297","456,246","507,302","578,637","609,460","621,861","631,212","637,387","657,664","703,391","716,492","723,826","765,859","778,708","806,862","851,768","895,003","915,201","935,583","913,323","958,822","1,017,331","1,045,417","1,067,599","1,086,531","1,102,810","1,107,106","1,114,975","1,123,888","1,132,036","1,135,929","1,136,559","1,137,060","1,131,211","1,132,069","1,132,541","1,134,950","1,129,148","1,126,744","1,128,730","1,144,390","1,147,748","1,151,475","1,154,892","1,160,649","1,167,499","1,172,616","1,176,405","1,180,676","1,186,274","1,188,006","1,196,158","1,202,678","1,214,142","1,231,184","1,237,957","1,256,167","1,265,806","1,267,475","1,273,272","1,277,377","1,273,500","1,276,962","1,265,531","1,291,354","1,296,042","1,307,808","1,310,292","1,315,818","1,336,019","1,347,737","1,380,227","1,397,823","1,409,821","1,419,913","1,425,801","1,440,390","1,435,629","1,437,749","1,443,161","1,447,082","1,447,984","1,451,560"
      Undivided profits,"90,545","91,906","93,981","94,263","96,718","100,481","105,246","106,484","110,886","112,885","116,245","114,158","117,097","102,659","104,019","98,880","97,499","98,811","114,383","117,167","134,484","137,058","130,617","125,467","132,534","134,815","133,289","128,119","132,514","133,444","135,236","133,372","139,814","144,783","151,571","154,479","162,257","168,218","174,992","176,502","181,750","187,150","192,537","193,036","196,391","201,562","208,689","207,560","211,056","213,550","213,385","213,613","222,408","226,529","231,885","230,703","234,210","243,126","247,518","247,661","256,491","260,532","265,090","267,000","275,483","278,893","287,006","286,473","295,998","302,820","305,596","306,371","308,855","319,927","329,700","333,337","342,244","352,917","361,968","366,472","382,422","384,680","384,720","392,779","407,419","421,168","434,007","442,502","447,966","462,050","477,527","461,222","464,668","458,791","454,347","425,967","432,087","419,878","413,758","360,373","348,426","332,325","319,754","304,703","296,387","306,783","319,033","317,266","332,561","341,399","360,323","362,359","380,260","396,719","413,660","413,176","437,819","455,460","466,813","474,358","491,431","508,017","522,476","534,401","550,916","563,658","576,864","588,273","604,751","623,406","635,587","651,080","664,343","681,526","690,234","686,988","713,424","735,944","753,819","759,369","779,591","792,691","800,763","789,689","748,286","750,030","782,779","818,502","870,587","904,671","918,321","937,426","964,752","997,673","1,030,712","1,037,296","1,055,489","1,066,343","1,088,206","1,050,299","1,081,708","1,110,407"
      Foreign currency translation adjustment,-248,-305,-359,-388,-398,-419,-403,-396,-338,-352,-322,-317,-278,-264,-267,-266,-269,-323,-338,-309,-356,-415,-407,-380,-440,-442,-406,-532,-620,-633,-681,-683,-769,-658,-723,-939,-947,"-1,051","-1,081","-1,129","-1,104","-1,053","-1,000","-1,016",-937,-927,-960,-995,"-1,013","-1,069","-1,081","-1,112","-1,108","-1,178","-1,225","-1,360","-1,397","-1,503","-1,419","-1,370","-1,567","-1,340","-1,209","-1,038","-1,092","-1,189","-1,350","-1,320", N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A 
      Cumulative other comprehensive income, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ,-974,-919,-921,-943,"-1,102","-1,043","-1,252","-1,199","-1,123","-1,087",-989,-885,-917,-765,-805,"-1,019","-1,003","-1,099","-1,121","1,940","-1,493","-5,215","-6,301","-9,405","-4,867",-465,34,"2,979",-905,"-3,486","-1,569","1,229","-2,379","1,740","4,126","4,235","4,362","4,400","7,065","4,874",838,"-8,259","-11,214","-15,440","-17,579","-16,031","-10,022",-14,"5,877","3,413","14,255","5,323",644,"11,147","17,543","17,608","14,728","16,311","5,328","3,519","9,899","-12,354",282,162,"-12,236","-4,705","-13,929","-19,550","-26,347","-33,953","-16,629","-18,700","-16,167","-28,283","-21,569","-17,989","-30,078","-47,499","-62,737","-78,761","-61,628","-49,772","-19,465","-21,697","-14,507","-2,077","6,342","-11,274","-8,726","4,969","9,574",979,"6,641","10,033","23,543","16,342","10,822","-22,361","-21,632","-24,588","-15,394","-2,857","-8,915","-10,065","-4,987","-17,896","-13,061","-26,523","-9,250",407,"-3,287","-42,875","-39,077","-31,543","-29,458","-40,941","-66,774","-74,580","-84,657","-68,421","-47,786","-25,905","-18,696","-20,963","20,272","39,259","39,953","39,314","-7,820","1,970","-10,981","-31,080","-170,306","-253,689","-348,284","-326,483","-283,622","-301,929","-337,231","-253,710","-262,837","-254,579"
        Net unrealized gains/losses on a-f-s securities, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ,-286,"-4,565","-5,934","-9,430","-4,237",594,"1,140","4,772",413,"-2,698",-508,"2,762","-1,292","3,513","6,294","6,677","6,884","7,106","9,938","7,395","3,143","-7,591","-11,291","-16,452","-18,812","-17,201","-9,900","1,437","7,444","5,089","15,897","6,219","2,149","14,024","21,995","20,300","18,611","20,443","10,139","7,660","17,403","-8,593","5,100","4,470","-6,292","3,935","-6,831","-12,118","-20,375","-29,900","-10,819","-8,371","-6,129","-20,630","-12,537","-8,465","-20,807","-38,587","-50,944","-53,275","-38,905","-29,368",48,"-3,237","4,549","18,251","22,591","6,363","7,394","19,975","27,679","24,979","27,843","32,678","45,166","40,560","35,375","2,797",915,"-8,108","-1,414","3,650","2,446","5,155", N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A 
Tier 1 leverage capital (PCA definition),"147,414","149,758","154,483","156,782","160,406","164,446","169,890","173,292","178,440","181,500","186,332","189,657","195,254","184,674","189,933","189,891","193,469","198,310","203,802","206,864","212,846","217,083","214,874","214,251","265,088","269,443","268,520","267,078","273,547","277,724","280,765","282,985","293,012","302,257","312,639","320,291","331,323","339,910","349,242","353,628","361,849","369,382","376,684","378,138","384,260","390,984","400,344","401,992","407,970","414,188","416,394","419,669","431,365","438,365","447,340","447,993","458,196","468,986","478,226","483,774","495,401","503,080","509,474","518,951","531,257","541,749","555,506","556,457","565,384","577,503","588,177","601,711","611,323","621,278","634,701","642,119","656,174","671,947","684,829","689,474","735,589","751,203","769,562","787,759","808,030","831,461","850,279","867,413","890,303","915,634","939,601","936,071","947,601","967,408","984,596","994,118","1,008,670","1,014,365","983,646","1,004,476","1,064,070","1,081,486","1,096,722","1,106,071","1,117,091","1,131,723","1,154,642","1,160,818","1,186,383","1,202,010","1,216,978","1,217,793","1,232,665","1,246,611","1,265,313","1,262,832","1,282,541","1,299,705","1,315,181","1,337,602","1,369,451","1,389,145","1,405,267","1,419,350","1,446,043","1,459,981","1,476,802","1,488,612","1,508,324","1,529,937","1,547,733","1,556,729","1,574,573","1,605,535","1,622,946","1,628,317","1,641,740","1,659,567","1,674,952","1,685,158","1,708,567","1,733,151","1,732,940","1,736,949","1,750,685","1,785,767","1,824,350","1,866,135","1,922,267","1,962,270","2,002,502","2,027,219","2,027,026","2,051,055","2,076,476","2,098,568","2,105,661","2,114,857","2,139,407","2,128,211","2,152,605","2,189,616"
Tier 1 risk based capital (PCA definition),"147,414","149,758","154,483","156,782","160,406","164,446","169,890","173,292","178,440","181,500","186,332","189,657","195,254","184,674","189,933","189,891","193,469","198,310","203,802","206,864","212,846","217,083","214,874","214,251","265,088","269,443","268,520","267,078","273,547","277,724","280,765","282,985","293,012","302,257","312,639","320,291","331,323","339,910","349,242","353,628","361,849","369,382","376,684","378,138","384,260","390,984","400,344","401,992","407,970","414,188","416,394","419,669","431,365","438,365","447,340","447,993","458,196","468,986","478,226","483,774","495,153","502,840","509,240","518,806","531,059","541,606","555,236","556,141","565,020","577,097","587,758","601,330","610,921","620,826","634,093","641,455","655,558","671,377","684,273","688,870","734,949","750,458","768,727","786,852","806,976","830,498","849,186","864,975","887,651","912,745","936,519","933,059","944,570","964,418","982,075","991,579","1,006,124","1,011,933","982,813","1,003,674","1,062,768","1,080,302","1,095,816","1,105,429","1,116,736","1,131,400","1,154,384","1,160,571","1,186,081","1,201,689","1,216,667","1,217,526","1,232,665","1,246,611","1,265,313","1,262,832","1,282,541","1,299,705","1,315,181","1,337,602","1,369,451","1,389,145","1,405,267","1,419,350","1,446,043","1,459,981","1,476,802","1,488,612","1,508,324","1,529,937","1,547,733","1,556,729","1,574,573","1,605,535","1,622,946","1,628,317","1,641,740","1,659,567","1,674,952","1,685,158","1,708,567","1,733,151","1,732,940","1,736,949","1,750,685","1,785,767","1,824,350","1,866,135","1,922,267","1,962,270","2,002,502","2,027,219","2,027,026","2,051,055","2,076,476","2,098,568","2,105,661","2,114,857","2,139,407","2,128,211","2,152,605","2,189,616"
Total risk based capital (PCA definition), N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ,"322,350","327,883","327,539","331,245","337,456","341,195","343,874","346,409","356,290","367,557","380,838","391,085","402,463","413,399","423,391","428,057","436,819","444,830","453,806","457,619","464,649","473,624","484,877","487,688","495,314","504,492","508,849","515,640","529,479","538,449","549,028","556,967","572,125","585,242","597,475","608,066","619,819","628,472","636,552","647,923","663,188","677,257","694,183","698,830","709,687","723,469","738,467","755,500","764,005","774,609","788,112","800,042","816,480","835,443","848,645","855,002","899,430","920,068","937,804","964,433","988,448","1,011,092","1,032,966","1,053,419","1,080,464","1,113,386","1,141,380","1,151,555","1,166,945","1,195,587","1,225,184","1,253,044","1,276,998","1,288,418","1,257,548","1,285,779","1,333,407","1,345,932","1,352,167","1,357,717","1,362,063","1,373,268","1,393,499","1,395,711","1,413,228","1,423,823","1,434,694","1,432,373","1,441,534","1,442,135","1,454,453","1,458,005","1,478,228","1,493,690","1,503,245","1,520,591","1,547,312","1,548,144","1,559,914","1,578,957","1,617,331","1,619,156","1,645,581","1,656,020","1,678,572","1,691,790","1,696,395","1,715,257","1,722,180","1,768,721","1,797,429","1,790,920","1,816,185","1,831,172","1,847,705","1,858,094","1,881,543","1,907,348","1,907,532","1,913,645","1,857,759","1,888,911","1,924,220","1,973,855","2,022,878","2,058,080","2,094,512","2,118,536","2,121,745","2,148,093","2,178,883","2,204,615","2,210,920","2,221,154","2,244,915","2,234,414","2,259,044","2,292,746"
